case_code,date,year,month,day,hour,zip_code,escalated,mobile,city,state,location_primary,school_level,offender_count,relationship,weapon_primary,weapon_pistol_tot,weapon_shotgun_tot,weapon_rifle_tot,weapon_tot,shot_tot,shot_tot_incl,shot_cit_tot,shot_le_tot,shot_guard_tot,wound_tot,wound_tot_incl,wound_cit_tot,wound_le_tot,wound_guard_tot,kill_tot,kill_tot_incl,kill_cit_tot,kill_le_tot,kill_guard_tot,resolution,resolved_pre_le,age_1,age_2,age_3,sex_1,sex_2,sex_3,race_1,race_2,race_3
261,2017-01-31,2017,Jan,Tue,13,90027,No,No,Hollywood,CA,Business,,1,No relationship,Knife,0,0,0,1,0,0,0,0,0,3,,3,0,0,0,,0,0,0,Shot by police,No,,,,Male,,,African American,,
262,2017-03-22,2017,Mar,Wed,12,54474,No,Yes,Rothschild,WI,Business,,1,Indirect,Rifle,1,0,1,2,3,4,3,0,0,0,0,0,0,0,3,4,3,0,0,Fled,No,45,,,Male,,,Asian,,
263,2017-03-25,2017,Mar,Sat,10,89109,No,No,Las Vegas,NV,Outdoors,,1,No relationship,Pistol,1,0,0,1,2,2,2,0,0,1,1,1,0,0,1,1,1,0,0,Surrendered,No,55,,,Male,,,Latino,,
264,2017-03-27,2017,Mar,Mon,6,32771,No,Yes,Sanford,FL,Other,,1,No relationship,Rifle,0,0,1,1,2,6,2,0,0,2,4,2,0,0,0,2,0,0,0,Fled,Yes,31,,,Male,,,African American,,
265,2017-04-15,2017,Apr,Sat,21,61071,No,No,Rock Falls,IL,Business,,1,No relationship,Pistol,1,0,0,1,4,4,4,0,0,4,4,4,0,0,0,0,0,0,0,Fled,Yes,32,,,Male,,,Caucasian,,
266,2017-04-19,2017,Apr,Wed,10,93710,No,No,Fresno,CA,Outdoors,,1,No relationship,Pistol,1,0,0,1,3,3,3,0,0,0,0,0,0,0,3,3,3,0,0,Subdued by police,No,39,,,Male,,,African American,,
267,2017-04-30,2017,Apr,Sun,15,66614,No,No,Topeka,KS,Other,,1,Indirect,Pistol,1,0,0,1,4,4,4,0,0,1,1,1,0,0,3,3,3,0,0,Suicide before police arrival,Yes,25,,,Male,,,African American,,
268,2017-04-30,2017,Apr,Sun,18,91608,No,No,San Diego,CA,Other,,1,No relationship,Pistol,1,0,0,1,8,8,8,0,0,7,7,7,0,0,1,1,1,0,0,Shot by police,No,49,,,Male,,,Caucasian,,
269,2017-05-01,2017,May,Mon,13,78702,No,No,Austin,TX,School,University,1,Student,Knife,0,0,0,1,0,0,0,0,0,3,,3,0,0,1,,1,0,0,Subdued by police,No,21,,,Male,,,African American,,
270,2017-05-12,2017,May,Fri,7,43033,No,No,Kirkersville,OH,Other,,1,Indirect,Shotgun,1,1,0,2,3,3,2,1,0,0,0,0,0,0,3,3,2,1,0,Suicide after police arrival,No,43,,,Male,,,Caucasian,,
